SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
CSI_0624:                                28.4126
CSI_0623:                                28.1209
CSI_0622:                                42.7839
CSI_0621:                                26.1491
CSI_0620:                                32.9993
CSI_0619:                                33.2831
CSI_0618:                                32.2906
CSI_0617:                                34.0962
CSI_0616:                                31.9986
CSI_0615:                                32.2659
CSI_0614:                                33.7162
CSI_0613:                                31.3659
CSI_0612:                                38.0416
CSI_0611:                                35.2144
CSI_0610:                                34.37
CSI_0609:                                32.5091
CSI_0608:                                39.6372
CSI_0607:                                39.0227
CSI_0606:                                38.5792
CSI_0605:                                35.8691
CSI_0604:                                40.8155
CSI_0603:                                40.5105
CSI_0602:                                33.6393
CSI_0601:                                35.7825
CSI_0724:                                24.4748
CSI_0723:                                23.2446
CSI_0722:                                23.383
CSI_0721:                                20.2199
CSI_0720:                                27.0106
CSI_0719:                                26.2288
CSI_0718:                                29.7042
CSI_0717:                                27.9553
CSI_0716:                                29.2199
CSI_0715:                                30.9134
CSI_0714:                                26.8166
CSI_0713:                                30.2463
CSI_0712:                                29.1645
CSI_0711:                                34.3119
CSI_0710:                                31.5105
CSI_0709:                                34.292
CSI_0708:                                34.0694
CSI_0707:                                33.9677
CSI_0706:                                36.5654
CSI_0705:                                30.6153
CSI_0704:                                35.7382
CSI_0703:                                33.5713
CSI_0702:                                31.8461
CSI_0701:                                28.8172
CSI_0824:                                23.6417
CSI_0823:                                25.9419
CSI_0822:                                22.145
CSI_0821:                                25.8667
CSI_0820:                                28.6317
CSI_0819:                                27.1986
CSI_0818:                                30.1405
CSI_0817:                                29.9176
CSI_0816:                                32.3229
CSI_0815:                                29.1415
CSI_0814:                                30.9873
CSI_0813:                                28.9516
CSI_0812:                                33.9042
CSI_0811:                                33.0069
CSI_0810:                                33.2491
CSI_0809:                                33.257
CSI_0808:                                37.0502
CSI_0807:                                35.8753
CSI_0806:                                33.4466
CSI_0805:                                34.9553
CSI_0804:                                36.5191
CSI_0803:                                36.3346
CSI_0802:                                31.9052
CSI_0801:                                30.5362
CSI_0924:                                20.9938
CSI_0923:                                19.4081
CSI_0922:                                20.9997
CSI_0921:                                22.7073
CSI_0920:                                24.3813
CSI_0919:                                23.3147
CSI_0918:                                23.9756
CSI_0917:                                25.9529
CSI_0916:                                24.538
CSI_0915:                                28.0058
CSI_0914:                                29.2236
CSI_0913:                                25.382
CSI_0912:                                29.3772
CSI_0911:                                29.8038
CSI_0910:                                33.641
CSI_0909:                                30.9756
CSI_0908:                                30.4387
CSI_0907:                                32.0398
CSI_0906:                                29.0835
CSI_0905:                                30.3645
CSI_0904:                                31.4861
CSI_0903:                                30.9969
CSI_0902:                                28.5373
CSI_0901:                                26.3518
CSI_1024:                                23.9897
CSI_1023:                                22.5026
CSI_1022:                                24.1058
CSI_1021:                                26.5036
CSI_1020:                                26.3957
CSI_1019:                                30.0697
CSI_1018:                                28.4476
CSI_1017:                                26.8282
CSI_1016:                                25.9588
CSI_1015:                                28.3899
CSI_1014:                                26.4088
CSI_1013:                                26.2951
CSI_1012:                                32.3281
CSI_1011:                                30.1068
CSI_1010:                                32.6163
CSI_1009:                                29.7564
CSI_1008:                                35.1336
CSI_1007:                                34.4569
CSI_1006:                                31.5283
CSI_1005:                                30.4373
CSI_1004:                                37.4638
CSI_1003:                                36.4936
CSI_1002:                                33.878
CSI_1001:                                28.4153
CSI_1124:                                27.9869
CSI_1123:                                32.3428
CSI_1122:                                32.1556
CSI_1121:                                29.9399
CSI_1120:                                34.5125
CSI_1119:                                36.8324
CSI_1118:                                36.8629
CSI_1117:                                34.6142
CSI_1116:                                36.9928
CSI_1115:                                37.9784
CSI_1114:                                38.6245
CSI_1113:                                37.6331
CSI_1112:                                40.1419
CSI_1111:                                41.7499
CSI_1110:                                41.0769
CSI_1109:                                39.0302
CSI_1108:                                44.3988
CSI_1107:                                41.8361
CSI_1106:                                36.6764
CSI_1105:                                38.5053
CSI_1104:                                41.7846
CSI_1103:                                42.2896
CSI_1102:                                37.6486
CSI_1101:                                33.9512
CSI_1224:                                23.5538
CSI_1223:                                32.2903
CSI_1222:                                33.8451
CSI_1221:                                32.9646
CSI_1220:                                41.6802
CSI_1219:                                36.1546
CSI_1218:                                39.404
CSI_1217:                                38.3793
CSI_1216:                                38.5668
CSI_1215:                                41.5551
CSI_1214:                                39.314
CSI_1213:                                36.9564
CSI_1212:                                46.1147
CSI_1211:                                48.9553
CSI_1210:                                48.9148
CSI_1209:                                42.9021
CSI_1208:                                46.2095
CSI_1207:                                46.865
CSI_1206:                                54.5342
CSI_1205:                                43.8729
CSI_1204:                                46.1323
CSI_1203:                                44.7726
CSI_1202:                                51.2697
CSI_1201:                                45.281
CSI_1324:                                26.4655
CSI_1321:                                26.427
CSI_1318:                                28.2923
CSI_1315:                                24.7709
CSI_1312:                                30.562
CSI_1309:                                35.2673
CSI_1306:                                33.4236
CSI_1303:                                33.0165
CSI_1323:                                36.2487
CSI_1320:                                33.5957
CSI_1317:                                35.0605
CSI_1314:                                34.1989
CSI_1311:                                39.5637
CSI_1308:                                38.1879
CSI_1305:                                37.8028
CSI_1302:                                38.5283
CSI_1322:                                40.4078
CSI_1319:                                40.4036
CSI_1316:                                37.2923
CSI_1313:                                35.3229
CSI_1310:                                39.5077
CSI_1307:                                36.2212
CSI_1304:                                38.718
CSI_1301:                                36.2054
CSI_1515:                                15.0003
CSI_1513:                                30.5579
CSI_1511:                                30.0189
CSI_1509:                                36.383
CSI_1507:                                38.371
CSI_1505:                                37.3566
CSI_1503:                                37.6311
CSI_1501:                                36.09
CSI_1416:                                37.999
CSI_1414:                                40.1838
CSI_1412:                                40.3243
CSI_1410:                                38.0175
CSI_1408:                                46.4143
CSI_1406:                                42.5266
CSI_1404:                                41.4243
CSI_1402:                                41.1639
CSI_1415:                                46.7959
CSI_1413:                                43.3882
CSI_1411:                                42.9131
CSI_1409:                                42.5771
CSI_1407:                                1.97492
CSI_1405:                                43.338
CSI_1403:                                43.5812
CSI_1401:                                37.5222
CSI_1708:                                29.8437
CSI_1707:                                33.2034
CSI_1706:                                31.1584
CSI_1705:                                29.9687
CSI_1704:                                37.6578
CSI_1703:                                37.472
CSI_1702:                                68.4761
CSI_1701:                                38.4071
CSI_1608:                                38.36
CSI_1607:                                42.99
CSI_1606:                                44.451
CSI_1605:                                40.5967
CSI_1604:                                45.664
CSI_1603:                                49.1989
CSI_1602:                                47.9526
CSI_1601:                                46.5641
CSI_1516:                                48.3909
CSI_1514:                                46.3528
CSI_1512:                                44.5256
CSI_1510:                                42.3298
CSI_1508:                                45.0289
CSI_1506:                                45.0601
CSI_1504:                                44.3837
CSI_1502:                                41.1982
