SignalIn:                                R
SignalOut:                               R_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
CSI_0624:                                15.0003
CSI_0623:                                15.9997
CSI_0622:                                31.9598
CSI_0621:                                16.0003
CSI_0620:                                19.0423
CSI_0619:                                19.3851
CSI_0618:                                20
CSI_0617:                                20.0223
CSI_0616:                                19
CSI_0615:                                20.9997
CSI_0614:                                21.0436
CSI_0613:                                20.9976
CSI_0612:                                25.9399
CSI_0611:                                24.9997
CSI_0610:                                24.0027
CSI_0609:                                22.9993
CSI_0608:                                26
CSI_0607:                                27.0096
CSI_0606:                                26
CSI_0605:                                23.0982
CSI_0604:                                28.0062
CSI_0603:                                27.9997
CSI_0602:                                22
CSI_0601:                                21.9997
CSI_0724:                                11.0058
CSI_0723:                                9.06527
CSI_0722:                                11
CSI_0721:                                7
CSI_0720:                                13.2831
CSI_0719:                                12.7358
CSI_0718:                                15
CSI_0717:                                13
CSI_0716:                                13.2731
CSI_0715:                                16
CSI_0714:                                12.0519
CSI_0713:                                14.0079
CSI_0712:                                14.0038
CSI_0711:                                19
CSI_0710:                                18
CSI_0709:                                17.9402
CSI_0708:                                19.123
CSI_0707:                                20.0027
CSI_0706:                                20.9577
CSI_0705:                                16.9742
CSI_0704:                                21
CSI_0703:                                19
CSI_0702:                                16.0117
CSI_0701:                                13.7152
CSI_0824:                                15.9938
CSI_0823:                                15.0958
CSI_0822:                                12.9213
CSI_0821:                                14.9729
CSI_0820:                                18.7757
CSI_0819:                                17.9997
CSI_0818:                                20.0563
CSI_0817:                                18.2978
CSI_0816:                                20.5623
CSI_0815:                                18.9997
CSI_0814:                                21
CSI_0813:                                20.9471
CSI_0812:                                24.17
CSI_0811:                                23.9997
CSI_0810:                                24.0003
CSI_0809:                                23
CSI_0808:                                27.2855
CSI_0807:                                24.4555
CSI_0806:                                23.5084
CSI_0805:                                24.9529
CSI_0804:                                27
CSI_0803:                                25.0014
CSI_0802:                                21.9997
CSI_0801:                                20.9997
CSI_0924:                                14
CSI_0923:                                12.9997
CSI_0922:                                15.9997
CSI_0921:                                16
CSI_0920:                                16.9997
CSI_0919:                                17
CSI_0918:                                17.0024
CSI_0917:                                18
CSI_0916:                                18
CSI_0915:                                20
CSI_0914:                                20.0003
CSI_0913:                                19
CSI_0912:                                21.9997
CSI_0911:                                22.0017
CSI_0910:                                25.9993
CSI_0909:                                23.1979
CSI_0908:                                23.9997
CSI_0907:                                23.9608
CSI_0906:                                22.9993
CSI_0905:                                22.9997
CSI_0904:                                24.2357
CSI_0903:                                22.9997
CSI_0902:                                20.168
CSI_0901:                                19.9399
CSI_1024:                                6.00447
CSI_1023:                                6.00069
CSI_1022:                                6.00137
CSI_1021:                                8.03882
CSI_1020:                                8.99485
CSI_1019:                                12
CSI_1018:                                11.5362
CSI_1017:                                9.06183
CSI_1016:                                10.0261
CSI_1015:                                12.0038
CSI_1014:                                11.9883
CSI_1013:                                12
CSI_1012:                                17.0072
CSI_1011:                                15
CSI_1010:                                17.4844
CSI_1009:                                14.9763
CSI_1008:                                19.3951
CSI_1007:                                18.9646
CSI_1006:                                17.3772
CSI_1005:                                14.6269
CSI_1004:                                21
CSI_1003:                                19.9983
CSI_1002:                                17
CSI_1001:                                12.9876
CSI_1124:                                9.01649
CSI_1123:                                12.0216
CSI_1122:                                11.9979
CSI_1121:                                10
CSI_1120:                                16.292
CSI_1119:                                16.9626
CSI_1118:                                17.9997
CSI_1117:                                14.9997
CSI_1116:                                17.0735
CSI_1115:                                19
CSI_1114:                                18.4538
CSI_1113:                                17.5077
CSI_1112:                                23.0007
CSI_1111:                                23
CSI_1110:                                22.7482
CSI_1109:                                19.8626
CSI_1108:                                24.5311
CSI_1107:                                23.7173
CSI_1106:                                20
CSI_1105:                                19.9997
CSI_1104:                                23
CSI_1103:                                23.7733
CSI_1102:                                19
CSI_1101:                                15.853
CSI_1224:                                13
CSI_1223:                                17.4019
CSI_1222:                                20
CSI_1221:                                18.9186
CSI_1220:                                25.0072
CSI_1219:                                22.0031
CSI_1218:                                28.0003
CSI_1217:                                23.9966
CSI_1216:                                24.2216
CSI_1215:                                26.9969
CSI_1214:                                24.9997
CSI_1213:                                23.0027
CSI_1212:                                30.9997
CSI_1211:                                32.024
CSI_1210:                                33.9997
CSI_1209:                                30
CSI_1208:                                30.9993
CSI_1207:                                32.8939
CSI_1206:                                37.9997
CSI_1205:                                29.9973
CSI_1204:                                30
CSI_1203:                                30.3741
CSI_1202:                                32.0027
CSI_1201:                                29.7193
CSI_1324:                                16.9536
CSI_1321:                                15.3717
CSI_1318:                                17.0027
CSI_1315:                                15
CSI_1312:                                20.5569
CSI_1309:                                23.0069
CSI_1306:                                21.3518
CSI_1303:                                22.3617
CSI_1323:                                26.9529
CSI_1320:                                23.888
CSI_1317:                                23.9993
CSI_1314:                                24.9997
CSI_1311:                                29.9997
CSI_1308:                                28.6633
CSI_1305:                                27.9997
CSI_1302:                                27.0213
CSI_1322:                                27.9997
CSI_1319:                                28.9997
CSI_1316:                                27.9997
CSI_1313:                                24
CSI_1310:                                27.9876
CSI_1307:                                24.9997
CSI_1304:                                25.3226
CSI_1301:                                23.6311
CSI_1515:                                8.00962
CSI_1513:                                10
CSI_1511:                                8.99966
CSI_1509:                                12
CSI_1507:                                15
CSI_1505:                                16
CSI_1503:                                16.0409
CSI_1501:                                15.7915
CSI_1416:                                17.9681
CSI_1414:                                17
CSI_1412:                                17
CSI_1410:                                16.1913
CSI_1408:                                23
CSI_1406:                                23
CSI_1404:                                22
CSI_1402:                                20.4256
CSI_1415:                                23.9653
CSI_1413:                                22.9993
CSI_1411:                                22
CSI_1409:                                19.5644
CSI_1407:                                15
CSI_1405:                                21.9887
CSI_1403:                                21.001
CSI_1401:                                15.0216
CSI_1708:                                11.8987
CSI_1707:                                12
CSI_1706:                                12
CSI_1705:                                13
CSI_1704:                                19.3092
CSI_1703:                                19.9997
CSI_1702:                                50
CSI_1701:                                20.6781
CSI_1608:                                18.0003
CSI_1607:                                20.6228
CSI_1606:                                21.4668
CSI_1605:                                19.9997
CSI_1604:                                25
CSI_1603:                                27
CSI_1602:                                27
CSI_1601:                                24.9997
CSI_1516:                                28.0141
CSI_1514:                                28.999
CSI_1512:                                26
CSI_1510:                                24
CSI_1508:                                26
CSI_1506:                                26.9997
CSI_1504:                                25.2518
CSI_1502:                                21.9584
