# alpha calibration for INDRA silicons rings 6/7
# for silicons of rings 6 & 7 with gain (4*sqrt(2))
RunList:                                 65000-199999
SignalIn:                                Volts
SignalOut:                               Energy
CalibType:                               VoltEnergy
CalibOptions:                            func=pol1,min=0,max=10
SI_0601: 0.210498     ,198.356 
SI_0603: -0.0372395  ,194.975 
SI_0604: 0.357725     ,190.285 
SI_0605: 0.200678     ,194.613 
SI_0606: 0.255167     ,194.613 
SI_0607: 0.344405     ,190.285 
SI_0608: 0.354381     ,190.575 
SI_0609: 0.215021     ,194.418 
SI_0610: 0.344405     ,190.285  
SI_0611: 0.344405     ,190.285  
SI_0613: 0.309659     ,194.613  
SI_0614: 0.182728     ,198.356  
SI_0615: 0.283064     ,194.418  
SI_0616: 0.303282     ,194      
SI_0617: 0.196613     ,198.356  
SI_0618: 0.437645     ,190.285  
SI_0619: 0.129099     ,202.857  
SI_0620: 0.178702     ,198.681  
SI_0621: 0.242236     ,194.418  
SI_0623: 0.0813514    ,198.681  
SI_0624: 0.301023     ,190.575  
SI_0701: -0.0270979   ,202.857 
SI_0702: -0.35728     ,217.905 
SI_0703: 0.237846     ,190.285 
SI_0704: 0.333281     ,186.653 
SI_0705: 0.391068     ,182.845 
SI_0706: 0.31313      ,186.28  
SI_0707: 0.211206     ,190.285 
SI_0708: 0.053536     ,198.681 
SI_0709: 0.283064     ,194.418 
SI_0710: 0.424325     ,190.285  
SI_0711: 0.424325     ,190.285  
SI_0713: 0.36472      ,194.418  
SI_0714: 0.185899     ,202.857  
SI_0715: 0.344022     ,194      
SI_0716: 0.289963     ,198.681  
SI_0717: 0.371182     ,194      
SI_0718: 0.432766     ,194.418  
SI_0719: 0.477605     ,190.285  
SI_0720: 0.321577     ,198.356  
SI_0721: 0.323892     ,194.418  
SI_0722: 0.450965     ,190.285  
SI_0723: 0.269455     ,194.418  
SI_0724: 0.19261      ,198.681  
